Sequence	Position	Raw Binding (log ratio)
SEQ1	2256	0.686
SEQ1	2257	0.774
SEQ1	2258	0.942
SEQ1	2259	1.32
SEQ1	2260	1.93
SEQ1	2261	2.15
SEQ1	2262	2.05
SEQ1	2263	1.39
SEQ1	2264	0.559
SEQ1	2265	-0.313
SEQ1	2266	-0.349
SEQ1	2267	0.0342
SEQ1	2268	0.766
SEQ1	2269	1.66
SEQ1	2270	2.37
SEQ1	2271	2.89
SEQ1	2272	3.02
SEQ1	2273	2.44
SEQ1	2274	1.44
SEQ1	2275	0.292
SEQ1	2276	-1.06
SEQ1	2277	-1.53
SEQ1	2278	-1.96
SEQ1	2279	-1.39
SEQ1	2280	-0.277
SEQ1	2281	1.11
SEQ1	2282	2.25
SEQ1	2283	2.52
SEQ1	2284	2.06
SEQ1	2285	1.03
SEQ1	2286	0.251
SEQ1	2287	-0.423
SEQ1	2288	-0.203
SEQ1	2289	-0.0529
SEQ1	2290	0.447
SEQ1	2291	0.477
SEQ1	2292	0.504
SEQ1	2293	0.681
SEQ1	2294	1.15
SEQ1	2295	1.55
SEQ1	2296	1.64
SEQ1	2297	1.25
SEQ1	2298	0.361
SEQ1	2299	0.0173
SEQ1	2300	0.0478
SEQ1	2301	0.568
SEQ1	2302	1.61
SEQ1	2303	2.1
SEQ1	2304	2.49
SEQ1	2305	2.39
SEQ1	2306	2.12
SEQ1	2307	1.61
SEQ1	2308	1.33
SEQ1	2309	1.15
SEQ1	2310	1.12
SEQ1	2311	1
SEQ1	2312	0.441
SEQ1	2313	0.247
SEQ1	2314	0.281
SEQ1	2315	0.307
SEQ1	2316	0.983
SEQ1	2317	1.43
SEQ1	2318	1.74
SEQ1	2319	1.52
SEQ1	2320	1.32
SEQ1	2321	0.96
SEQ1	2322	1.23
SEQ1	2323	1.27
SEQ1	2324	0.951
SEQ1	2325	0.471
SEQ1	2326	-0.0323
SEQ1	2327	-0.123
SEQ1	2328	0.133
SEQ1	2329	0.678
SEQ1	2330	1.21
SEQ1	2331	1.97
SEQ1	2332	2.08
SEQ1	2333	2
SEQ1	2334	1.81
SEQ1	2335	1.33
SEQ1	2336	1.11
SEQ1	2337	0.758
SEQ1	2338	0.47
SEQ1	2339	0.547
SEQ1	2340	0.544
SEQ1	2341	0.878
SEQ1	2342	1.11
SEQ1	2343	1.36
SEQ1	2344	1.02
SEQ1	2345	0.767
SEQ1	2346	0.0695
SEQ1	2347	-0.2
SEQ1	2348	-0.152
SEQ1	2349	0.308
SEQ1	2350	0.884
SEQ1	2351	1.6
SEQ1	2352	2.04
SEQ1	2353	2.03
SEQ1	2354	1.87
SEQ1	2355	1.35
SEQ1	2356	0.683
SEQ1	2357	-0.0291
SEQ1	2358	-0.494
SEQ1	2359	-0.49
SEQ1	2360	0.0397
SEQ1	2361	0.878
SEQ1	2362	1.98
SEQ1	2363	2.44
SEQ1	2364	2.41
SEQ1	2365	1.75
SEQ1	2366	1.08
SEQ1	2367	0.198
SEQ1	2368	-0.75
SEQ1	2369	-1.08
SEQ1	2370	-0.905
SEQ1	2371	-0.378
SEQ1	2372	0.194
SEQ1	2373	1
SEQ1	2374	1.74
SEQ1	2375	1.77
SEQ1	2376	1.42
SEQ1	2377	0.956
SEQ1	2378	0.527
SEQ1	2379	-0.0456
SEQ1	2380	-0.331
SEQ1	2381	-0.238
SEQ1	2382	0.476
SEQ1	2383	1.14
SEQ1	2384	1.6
SEQ1	2385	1.34
SEQ1	2386	0.885
SEQ1	2387	0.434
SEQ1	2388	0.122
SEQ1	2389	-0.00278
SEQ1	2390	0.222
SEQ1	2391	0.626
SEQ1	2392	1.03
SEQ1	2393	1.1
SEQ1	2394	1.05
SEQ1	2395	0.861
SEQ1	2396	0.787
SEQ1	2397	0.465
SEQ1	2398	0.209
SEQ1	2399	-0.0214
SEQ1	2400	-0.0801
SEQ1	2401	0.0472
SEQ1	2402	0.706
SEQ1	2403	1.34
SEQ1	2404	1.87
SEQ1	2405	2.2
SEQ1	2406	2.2
SEQ1	2407	1.49
SEQ1	2408	1.26
SEQ1	2409	0.877
SEQ1	2410	1.23
SEQ1	2411	1.84
SEQ1	2412	2.17
SEQ1	2413	2.5
SEQ1	2414	2.03
SEQ1	2415	1.65
SEQ1	2416	1.01
SEQ1	2417	0.732
SEQ1	2418	0.52
SEQ1	2419	0.618
SEQ1	2420	0.679
SEQ1	2421	0.867
SEQ1	2422	1.01
SEQ1	2423	1.61
SEQ1	2424	1.77
SEQ1	2425	1.86
SEQ1	2426	1.45
SEQ1	2427	0.74
SEQ1	2428	-0.0471
SEQ1	2429	-0.388
SEQ1	2430	-0.385
SEQ1	2431	-0.00778
SEQ1	2432	0.284
SEQ1	2433	0.303
SEQ1	2434	0.427
SEQ1	2435	0.0982
SEQ1	2436	-0.115
SEQ1	2437	-0.29
SEQ1	2438	-0.116
SEQ1	2439	-0.0359
SEQ1	2440	0.292
SEQ1	2441	0.852
SEQ1	2442	1.3
SEQ1	2443	1.91
SEQ1	2444	2.26
SEQ1	2445	1.92
SEQ1	2446	1.26
SEQ1	2447	0.29
SEQ1	2448	-0.629
SEQ1	2449	-1.6
SEQ1	2450	-1.74
SEQ1	2451	-1.15
SEQ1	2452	-0.143
SEQ1	2453	0.418
SEQ1	2454	0.65
SEQ1	2455	0.902
SEQ1	2456	1.12
SEQ1	2457	1.19
SEQ1	2458	1.31
SEQ1	2459	0.957
SEQ1	2460	0.647
SEQ1	2461	0.189
SEQ1	2462	0.375
SEQ1	2463	0.792
SEQ1	2464	0.8
SEQ1	2465	0.857
SEQ1	2466	0.698
SEQ1	2467	0.449
SEQ1	2468	0.207
SEQ1	2469	0.409
SEQ1	2470	0.908
SEQ1	2471	1.71
SEQ1	2472	2.28
SEQ1	2473	2.46
SEQ1	2474	2.08
SEQ1	2475	1.4
SEQ1	2476	0.77
SEQ1	2477	0.564
SEQ1	2478	0.29
SEQ1	2479	0.529
SEQ1	2480	0.877
SEQ1	2481	0.498
SEQ1	2482	-0.042
SEQ1	2483	-0.599
SEQ1	2484	-0.567
SEQ1	2485	-0.512
SEQ1	2486	-0.236
SEQ1	2487	0.159
SEQ1	2488	0.0495
SEQ1	2489	0.0336
SEQ1	2490	0.369
SEQ1	2491	0.588
SEQ1	2492	0.823
SEQ1	2493	0.703
SEQ1	2494	0.0794
SEQ1	2495	-0.602
SEQ1	2496	-1.18
SEQ1	2497	-1.61
SEQ1	2498	-1.56
SEQ1	2499	-1.4
SEQ1	2500	-1.2
SEQ1	2501	-1.07
SEQ1	2502	-0.892
SEQ1	2503	-0.629
SEQ1	2504	-0.377
SEQ1	2505	0.0289
SEQ1	2506	0.347
SEQ1	2507	0.574
SEQ1	2508	0.444
SEQ1	2509	0.0337
SEQ1	2510	-0.29
SEQ1	2511	-0.272
SEQ1	2512	-0.574
SEQ1	2513	-0.86
SEQ1	2514	-1
SEQ1	2515	-1.34
SEQ1	2516	-1.66
SEQ1	2517	-1.68
SEQ1	2518	-1.05
SEQ1	2519	-0.508
SEQ1	2520	-0.327
SEQ1	2521	-0.777
SEQ1	2522	-1.25
SEQ1	2523	-1.87
SEQ1	2524	-2.01
SEQ1	2525	-1.6
SEQ1	2526	-0.836
SEQ1	2527	-0.162
SEQ1	2528	0.254
SEQ1	2529	0.367
SEQ1	2530	0.103
SEQ1	2531	-0.269
SEQ1	2532	-0.886
SEQ1	2533	-1.45
SEQ1	2534	-1.39
SEQ1	2535	-1.44
SEQ1	2536	-0.983
SEQ1	2537	-0.496
SEQ1	2538	-0.0761
SEQ1	2539	0.861
SEQ1	2540	1.1
SEQ1	2541	0.656
SEQ1	2542	-0.0599
SEQ1	2543	-0.997
SEQ1	2544	-1.99
SEQ1	2545	-2.2
SEQ1	2546	-1.95
SEQ1	2547	-1.53
SEQ1	2548	-1.06
SEQ1	2549	-0.652
SEQ1	2550	-0.62
SEQ1	2551	-0.688
SEQ1	2552	-0.733
SEQ1	2553	-0.801
SEQ1	2554	-0.745
SEQ1	2555	-0.709
SEQ1	2556	-0.983
SEQ1	2557	-1.17
SEQ1	2558	-0.944
SEQ1	2559	-0.818
SEQ1	2560	-0.821
SEQ1	2561	-0.66
SEQ1	2562	-0.849
SEQ1	2563	-1.12
SEQ1	2564	-1.06
SEQ1	2565	-1.03
SEQ1	2566	-0.718
SEQ1	2567	-0.52
SEQ1	2568	-0.244
SEQ1	2569	-0.163
SEQ1	2570	-0.0123
SEQ1	2571	-0.126
SEQ1	2572	-0.18
SEQ1	2573	-0.175
SEQ1	2574	-0.145
SEQ1	2575	0.037
SEQ1	2576	-0.292
SEQ1	2577	-0.212
SEQ1	2578	-0.152
SEQ1	2579	0.358
SEQ1	2580	0.758
SEQ1	2581	0.749
SEQ1	2582	0.491
SEQ1	2583	0.0595
SEQ1	2584	-0.368
SEQ1	2585	-0.896
SEQ1	2586	-1.09
SEQ1	2587	-1.14
SEQ1	2588	-0.783
SEQ1	2589	-0.395
SEQ1	2590	-0.0913
SEQ1	2591	0.158
SEQ1	2592	0.0398
SEQ1	2593	-0.252
SEQ1	2594	-0.0869
SEQ1	2595	0.0409
SEQ1	2596	0.171
SEQ1	2597	-0.122
SEQ1	2598	-0.196
SEQ1	2599	-0.183
SEQ1	2600	-0.0132
SEQ1	2601	0.375
SEQ1	2602	0.927
SEQ1	2603	1.45
SEQ1	2604	1.51
SEQ1	2605	1.65
SEQ1	2606	1.1
SEQ1	2607	0.922
SEQ1	2608	0.861
SEQ1	2609	0.774
SEQ1	2610	0.791
SEQ1	2611	0.836
SEQ1	2612	0.688
SEQ1	2613	1.15
SEQ1	2614	1.34
SEQ1	2615	1.05
SEQ1	2616	1.01
SEQ1	2617	0.885
SEQ1	2618	1.26
SEQ1	2619	1.2
SEQ1	2620	1.54
SEQ1	2621	1.58
SEQ1	2622	1.66
SEQ1	2623	1.3
SEQ1	2624	0.678
SEQ1	2625	0.297
SEQ1	2626	0.0736
SEQ1	2627	-0.103
SEQ1	2628	0.192
SEQ1	2629	0.705
SEQ1	2630	0.862
SEQ1	2631	0.851
SEQ1	2632	1.03
SEQ1	2633	1.1
SEQ1	2634	1.08
SEQ1	2635	1.35
SEQ1	2636	1.28
SEQ1	2637	1.4
SEQ1	2638	1.41
SEQ1	2639	1.02
SEQ1	2640	0.897
SEQ1	2641	0.708
SEQ1	2642	0.767
SEQ1	2643	0.979
SEQ1	2644	1.12
SEQ1	2645	1.39
SEQ1	2646	1.39
SEQ1	2647	0.969
SEQ1	2648	0.451
SEQ1	2649	0.426
SEQ1	2650	0.461
SEQ1	2651	0.921
SEQ1	2652	0.863
SEQ1	2653	0.853
SEQ1	2654	0.592
SEQ1	2655	0.359
SEQ1	2656	0.0804
SEQ1	2657	0.149
SEQ1	2658	0.432
SEQ1	2659	0.923
SEQ1	2660	1.3
SEQ1	2661	1.5
SEQ1	2662	1.49
SEQ1	2663	1.56
SEQ1	2664	1.57
SEQ1	2665	1.61
SEQ1	2666	1.35
SEQ1	2667	1.19
SEQ1	2668	0.996
SEQ1	2669	0.648
SEQ1	2670	0.804
SEQ1	2671	1.21
SEQ1	2672	1.82
SEQ1	2673	2.01
SEQ1	2674	1.82
SEQ1	2675	1.27
SEQ1	2676	0.896
SEQ1	2677	0.513
SEQ1	2678	0.131
SEQ1	2679	0.361
SEQ1	2680	0.673
SEQ1	2681	1.45
SEQ1	2682	1.97
SEQ1	2683	2.49
SEQ1	2684	2.55
SEQ1	2685	2.25
SEQ1	2686	1.29
SEQ1	2687	0.459
SEQ1	2688	-0.0186
SEQ1	2689	-0.374
SEQ1	2690	-0.0415
SEQ1	2691	0.611
SEQ1	2692	1.49
SEQ1	2693	1.86
SEQ1	2694	2
SEQ1	2695	1.63
SEQ1	2696	1.09
SEQ1	2697	0.394
SEQ1	2698	-0.521
SEQ1	2699	-0.938
SEQ1	2700	-0.893
SEQ1	2701	-0.699
SEQ1	2702	-0.281
SEQ1	2703	0.021
SEQ1	2704	0.244
SEQ1	2705	0.265
SEQ1	2706	0.173
SEQ1	2707	-0.283
SEQ1	2708	-0.0728
SEQ1	2709	0.128
SEQ1	2710	0.3
SEQ1	2711	0.477
SEQ1	2712	0.806
SEQ1	2713	0.908
SEQ1	2714	0.888
SEQ1	2715	0.351
SEQ1	2716	-0.646
SEQ1	2717	-1.51
SEQ1	2718	-1.84
SEQ1	2719	-1.68
SEQ1	2720	-0.683
SEQ1	2721	0.436
SEQ1	2722	1.58
SEQ1	2723	1.7
SEQ1	2724	1.23
SEQ1	2725	0.281
SEQ1	2726	-0.937
SEQ1	2727	-1.92
SEQ1	2728	-2.45
SEQ1	2729	-2.4
SEQ1	2730	-1.58
SEQ1	2731	-0.459
SEQ1	2732	0.164
SEQ1	2733	0.281
SEQ1	2734	0.0638
SEQ1	2735	-0.258
SEQ1	2736	-0.883
SEQ1	2737	-1.47
SEQ1	2738	-2.18
SEQ1	2739	-2.57
SEQ1	2740	-2.67
SEQ1	2741	-2.16
SEQ1	2742	-1.39
SEQ1	2743	-0.552
SEQ1	2744	-0.122
SEQ1	2745	-0.476
SEQ1	2746	-0.671
SEQ1	2747	-0.728
SEQ1	2748	-1.07
SEQ1	2749	-1.44
SEQ1	2750	-1.69
SEQ1	2751	-1.7
SEQ1	2752	-1.56
SEQ1	2753	-1.11
SEQ1	2754	-1.02
SEQ1	2755	-0.999
SEQ1	2756	-0.861
SEQ1	2757	-0.749
SEQ1	2758	-0.574
SEQ1	2759	-0.34
SEQ1	2760	-0.661
SEQ1	2761	-0.635
SEQ1	2762	-0.666
SEQ1	2763	-0.609
SEQ1	2764	-0.772
SEQ1	2765	-1.06
SEQ1	2766	-1.04
SEQ1	2767	-0.872
SEQ1	2768	-0.524
SEQ1	2769	-0.551
SEQ1	2770	-0.404
SEQ1	2771	-0.488
SEQ1	2772	-0.444
SEQ1	2773	-0.695
SEQ1	2774	-1.04
SEQ1	2775	-1.3
SEQ1	2776	-1.56
SEQ1	2777	-1.14
SEQ1	2778	-0.535
SEQ1	2779	-0.179
SEQ1	2780	0.242
SEQ1	2781	0.205
SEQ1	2782	-0.136
SEQ1	2783	-0.979
SEQ1	2784	-1.43
SEQ1	2785	-1.71
SEQ1	2786	-1.81
SEQ1	2787	-1.83
SEQ1	2788	-1.87
SEQ1	2789	-1.37
SEQ1	2790	-0.391
SEQ1	2791	0.335
SEQ1	2792	0.803
SEQ1	2793	0.43
SEQ1	2794	-0.493
SEQ1	2795	-1.58
SEQ1	2796	-2.12
SEQ1	2797	-2.51
SEQ1	2798	-2.36
SEQ1	2799	-1.6
SEQ1	2800	-1.36
SEQ1	2801	-0.839
SEQ1	2802	-0.47
SEQ1	2803	-0.364
SEQ1	2804	-0.472
SEQ1	2805	-1.01
SEQ1	2806	-1.54
SEQ1	2807	-1.71
SEQ1	2808	-2.34
SEQ1	2809	-2.64
SEQ1	2810	-2.58
SEQ1	2811	-1.92
SEQ1	2812	-0.981
SEQ1	2813	-0.316
SEQ1	2814	-0.331
SEQ1	2815	-0.579
SEQ1	2816	-1.16
SEQ1	2817	-1.64
SEQ1	2818	-1.95
SEQ1	2819	-1.95
SEQ1	2820	-1.98
SEQ1	2821	-1.59
SEQ1	2822	-1.07
SEQ1	2823	-0.906
SEQ1	2824	-0.585
SEQ1	2825	-0.211
SEQ1	2826	-0.342
SEQ1	2827	0.0349
SEQ1	2828	0.152
SEQ1	2829	0.00811
SEQ1	2830	-0.164
SEQ1	2831	-0.282
SEQ1	2832	-0.225
SEQ1	2833	0.233
SEQ1	2834	0.191
SEQ1	2835	0.519
SEQ1	2836	0.578
SEQ1	2837	0.105
SEQ1	2838	-0.134
SEQ1	2839	-0.477
SEQ1	2840	-0.779
SEQ1	2841	-0.827
SEQ1	2842	-1.2
SEQ1	2843	-1.15
SEQ1	2844	-0.848
SEQ1	2845	-0.659
SEQ1	2846	-0.412
SEQ1	2847	-0.142
SEQ1	2848	-0.121
SEQ1	2849	-0.0978
SEQ1	2850	-0.701
SEQ1	2851	-1.21
SEQ1	2852	-1.77
SEQ1	2853	-2.67
SEQ1	2854	-2.74
SEQ1	2855	-2.54
SEQ1	2856	-2.27
SEQ1	2857	-1.95
SEQ1	2858	-1.47
SEQ1	2859	-1.21
SEQ1	2860	-0.956
SEQ1	2861	-0.869
SEQ1	2862	-1.15
SEQ1	2863	-1.69
SEQ1	2864	-2.26
SEQ1	2865	-2.86
SEQ1	2866	-2.85
SEQ1	2867	-2.66
SEQ1	2868	-2.35
SEQ1	2869	-1.88
SEQ1	2870	-1.35
SEQ1	2871	-1.1
SEQ1	2872	-1.19
SEQ1	2873	-1.34
SEQ1	2874	-1.68
SEQ1	2875	-1.95
SEQ1	2876	-2.13
SEQ1	2877	-2.29
SEQ1	2878	-2.02
SEQ1	2879	-1.77
SEQ1	2880	-1.6
SEQ1	2881	-1.22
SEQ1	2882	-1.31
SEQ1	2883	-1.78
SEQ1	2884	-2.7
SEQ1	2885	-3.46
SEQ1	2886	-3.55
SEQ1	2887	-3.27
SEQ1	2888	-2.61
SEQ1	2889	-1.8
SEQ1	2890	-1.43
SEQ1	2891	-0.872
SEQ1	2892	-0.772
SEQ1	2893	-0.45
SEQ1	2894	-0.375
SEQ1	2895	-0.393
SEQ1	2896	-0.66
SEQ1	2897	-1.38
SEQ1	2898	-1.44
SEQ1	2899	-1.06
SEQ1	2900	-0.818
SEQ1	2901	-0.247
SEQ1	2902	0.462
SEQ1	2903	0.907
SEQ1	2904	1.27
SEQ1	2905	1.02
SEQ1	2906	0.839
SEQ1	2907	0.459
SEQ1	2908	0.0211
SEQ1	2909	-0.185
SEQ1	2910	-0.374
SEQ1	2911	-0.871
SEQ1	2912	-0.754
SEQ1	2913	-0.846
SEQ1	2914	-0.816
SEQ1	2915	-0.687
SEQ1	2916	-0.591
SEQ1	2917	-0.192
SEQ1	2918	0.308
SEQ1	2919	0.679
SEQ1	2920	0.649
SEQ1	2921	0.473
SEQ1	2922	-0.122
SEQ1	2923	-0.61
SEQ1	2924	-0.764
SEQ1	2925	-0.326
SEQ1	2926	0.247
SEQ1	2927	0.595
SEQ1	2928	1.04
SEQ1	2929	1.53
SEQ1	2930	1.62
SEQ1	2931	1.2
SEQ1	2932	1.07
SEQ1	2933	0.786
SEQ1	2934	0.267
SEQ1	2935	-0.248
SEQ1	2936	-0.0933
SEQ1	2937	0.31
SEQ1	2938	1.23
SEQ1	2939	1.67
SEQ1	2940	1.93
SEQ1	2941	1.64
SEQ1	2942	0.719
SEQ1	2943	-0.24
SEQ1	2944	-1.11
SEQ1	2945	-1.33
SEQ1	2946	-1.33
SEQ1	2947	-0.734
SEQ1	2948	-0.0127
SEQ1	2949	0.621
SEQ1	2950	0.939
SEQ1	2951	1.16
SEQ1	2952	1.3
SEQ1	2953	0.699
SEQ1	2954	0.00794
SEQ1	2955	-0.571
SEQ1	2956	-0.486
SEQ1	2957	0.35
SEQ1	2958	0.886
SEQ1	2959	1.3
SEQ1	2960	1.4
SEQ1	2961	1.39
SEQ1	2962	1.03
SEQ1	2963	1.12
SEQ1	2964	1.4
SEQ1	2965	1.67
SEQ1	2966	1.6
SEQ1	2967	1.41
SEQ1	2968	1.18
SEQ1	2969	1.07
SEQ1	2970	1.17
SEQ1	2971	0.973
SEQ1	2972	0.916
SEQ1	2973	1.03
SEQ1	2974	0.817
SEQ1	2975	0.655
SEQ1	2976	0.439
SEQ1	2977	0.452
SEQ1	2978	0.802
SEQ1	2979	1.17
SEQ1	2980	1.33
SEQ1	2981	0.921
SEQ1	2982	0.583
SEQ1	2983	0.504
SEQ1	2984	0.76
SEQ1	2985	1.36
SEQ1	2986	1.84
SEQ1	2987	1.92
SEQ1	2988	2.1
SEQ1	2989	2.12
SEQ1	2990	1.9
SEQ1	2991	1.8
SEQ1	2992	1.51
SEQ1	2993	1.35
SEQ1	2994	0.729
SEQ1	2995	0.618
SEQ1	2996	0.812
SEQ1	2997	1.14
SEQ1	2998	0.863
SEQ1	2999	1.14
SEQ1	3000	1.46
SEQ1	3001	1.5
SEQ1	3002	1.31
SEQ1	3003	1.02
SEQ1	3004	0.89
SEQ1	3005	0.681
SEQ1	3006	0.595
SEQ1	3007	0.645
SEQ1	3008	0.836
SEQ1	3009	0.807
SEQ1	3010	0.409
SEQ1	3011	0.11
SEQ1	3012	0.127
SEQ1	3013	-0.129
SEQ1	3014	-0.254
SEQ1	3015	-0.328
SEQ1	3016	-0.108
SEQ1	3017	0.181
SEQ1	3018	0.236
SEQ1	3019	0.545
SEQ1	3020	1.04
SEQ1	3021	1.45
SEQ1	3022	1.59
SEQ1	3023	1.74
SEQ1	3024	1.16
SEQ1	3025	0.249
SEQ1	3026	-0.0932
SEQ1	3027	-0.181
SEQ1	3028	0.00712
SEQ1	3029	0.474
SEQ1	3030	0.504
SEQ1	3031	0.464
SEQ1	3032	0.092
SEQ1	3033	-0.332
SEQ1	3034	-0.276
SEQ1	3035	-0.513
SEQ1	3036	-0.866
SEQ1	3037	-0.812
SEQ1	3038	-0.313
SEQ1	3039	0.0638
SEQ1	3040	0.535
SEQ1	3041	0.974
SEQ1	3042	1.06
SEQ1	3043	0.568
SEQ1	3044	0.333
SEQ1	3045	0.556
SEQ1	3046	1.12
SEQ1	3047	1.16
SEQ1	3048	1.15
SEQ1	3049	1.36
SEQ1	3050	1.04
SEQ1	3051	0.928
SEQ1	3052	0.287
SEQ1	3053	0.146
SEQ1	3054	-0.0181
SEQ1	3055	-0.0535
SEQ1	3056	-0.0543
SEQ1	3057	0.288
SEQ1	3058	0.31
SEQ1	3059	0.444
SEQ1	3060	0.663
SEQ1	3061	0.456
SEQ1	3062	-0.0781
SEQ1	3063	-0.906
SEQ1	3064	-1.21
SEQ1	3065	-1.03
SEQ1	3066	-0.475
SEQ1	3067	0.479
SEQ1	3068	1.02
SEQ1	3069	1.11
SEQ1	3070	1.09
SEQ1	3071	0.706
SEQ1	3072	0.254
SEQ1	3073	-0.152
SEQ1	3074	-0.3
SEQ1	3075	-0.795
SEQ1	3076	-1.13
SEQ1	3077	-1.08
SEQ1	3078	-0.901
SEQ1	3079	-0.202
SEQ1	3080	0.459
SEQ1	3081	0.923
SEQ1	3082	1.3
SEQ1	3083	1.33
SEQ1	3084	1.04
SEQ1	3085	0.677
SEQ1	3086	0.302
SEQ1	3087	0.152
SEQ1	3088	0.505
SEQ1	3089	0.98
SEQ1	3090	1.27
SEQ1	3091	1.18
SEQ1	3092	0.647
SEQ1	3093	0.00835
SEQ1	3094	-0.559
SEQ1	3095	-0.853
SEQ1	3096	-0.689
SEQ1	3097	0.00334
SEQ1	3098	0.685
SEQ1	3099	0.965
SEQ1	3100	1.34
SEQ1	3101	1.31
SEQ1	3102	0.985
SEQ1	3103	0.567
SEQ1	3104	0.175
SEQ1	3105	0.105
SEQ1	3106	0.195
SEQ1	3107	-0.0505
SEQ1	3108	0.0556
SEQ1	3109	0.263
SEQ1	3110	0.265
SEQ1	3111	-0.115
SEQ1	3112	-0.274
SEQ1	3113	-0.622
SEQ1	3114	-0.904
SEQ1	3115	-0.977
SEQ1	3116	-0.847
SEQ1	3117	-0.195
SEQ1	3118	0.0572
SEQ1	3119	0.194
SEQ1	3120	0.152
SEQ1	3121	-0.124
SEQ1	3122	-0.119
SEQ1	3123	-0.297
SEQ1	3124	-0.436
SEQ1	3125	-0.454
SEQ1	3126	-0.279
SEQ1	3127	0.222
SEQ1	3128	1.14
SEQ1	3129	1.82
SEQ1	3130	2.08
SEQ1	3131	1.93
SEQ1	3132	1.24
SEQ1	3133	0.608
SEQ1	3134	0.32
SEQ1	3135	-0.0652
SEQ1	3136	-0.17
SEQ1	3137	-0.249
SEQ1	3138	0.0348
SEQ1	3139	0.235
SEQ1	3140	0.103
SEQ1	3141	-0.0949
SEQ1	3142	-0.361
SEQ1	3143	-0.515
SEQ1	3144	-0.513
SEQ1	3145	-0.381
SEQ1	3146	-0.114
SEQ1	3147	0.119
SEQ1	3148	0.333
SEQ1	3149	0.415
SEQ1	3150	0.506
SEQ1	3151	0.647
SEQ1	3152	0.263
SEQ1	3153	-0.12
SEQ1	3154	-0.465
SEQ1	3155	-0.723
SEQ1	3156	-0.364
SEQ1	3157	0.101
SEQ1	3158	0.39
SEQ1	3159	0.509
SEQ1	3160	0.71
SEQ1	3161	0.59
SEQ1	3162	0.583
SEQ1	3163	0.371
SEQ1	3164	0.178
SEQ1	3165	0.212
SEQ1	3166	0.202
SEQ1	3167	-0.311
SEQ1	3168	-0.891
SEQ1	3169	-1.19
SEQ1	3170	-1.46
SEQ1	3171	-1.53
SEQ1	3172	-1.55
SEQ1	3173	-1.41
SEQ1	3174	-1.38
SEQ1	3175	-1.28
SEQ1	3176	-1.2
SEQ1	3177	-0.9
SEQ1	3178	-0.574
SEQ1	3179	-0.738
SEQ1	3180	-1.05
SEQ1	3181	-1.62
SEQ1	3182	-1.77
SEQ1	3183	-1.84
SEQ1	3184	-1.68
SEQ1	3185	-1.79
SEQ1	3186	-1.44
SEQ1	3187	-1.39
SEQ1	3188	-1.44
SEQ1	3189	-1.43
SEQ1	3190	-1.49
SEQ1	3191	-1.31
SEQ1	3192	-0.963
SEQ1	3193	-0.896
SEQ1	3194	-0.426
SEQ1	3195	-0.208
SEQ1	3196	-0.488
SEQ1	3197	-0.473
SEQ1	3198	-0.827
SEQ1	3199	-0.737
SEQ1	3200	-0.644
SEQ1	3201	-0.505
SEQ1	3202	-0.559
SEQ1	3203	-0.974
SEQ1	3204	-1.4
SEQ1	3205	-1.17
SEQ1	3206	-0.635
SEQ1	3207	-0.353
SEQ1	3208	0.0393
SEQ1	3209	0.158
SEQ1	3210	0.478
SEQ1	3211	0.96
SEQ1	3212	1.31
SEQ1	3213	1.31
SEQ1	3214	1.33
SEQ1	3215	0.898
SEQ1	3216	0.441
SEQ1	3217	-0.0708
SEQ1	3218	-0.32
SEQ1	3219	-0.274
SEQ1	3220	0.36
SEQ1	3221	0.86
SEQ1	3222	1.59
SEQ1	3223	2.04
SEQ1	3224	2.18
SEQ1	3225	2.08
SEQ1	3226	1.48
SEQ1	3227	0.846
SEQ1	3228	0.468
SEQ1	3229	0.473
SEQ1	3230	0.716
SEQ1	3231	1.28
SEQ1	3232	1.9
SEQ1	3233	1.87
SEQ1	3234	1.65
SEQ1	3235	0.747
SEQ1	3236	-0.182
SEQ1	3237	-0.827
SEQ1	3238	-0.706
SEQ1	3239	0.15
SEQ1	3240	1.4
SEQ1	3241	2.81
SEQ1	3242	3.85
SEQ1	3243	4.1
SEQ1	3244	3.74
SEQ1	3245	2.7
SEQ1	3246	1.47
SEQ1	3247	0.351
SEQ1	3248	-0.603
SEQ1	3249	-0.539
SEQ1	3250	-0.34
SEQ1	3251	0.365
SEQ1	3252	1.16
SEQ1	3253	1.77
SEQ1	3254	2.57
SEQ1	3255	2.72
SEQ1	3256	2.41
SEQ1	3257	1.57
SEQ1	3258	1.02
SEQ1	3259	0.397
SEQ1	3260	0.509
SEQ1	3261	0.521
SEQ1	3262	1.05
SEQ1	3263	1.49
SEQ1	3264	1.63
SEQ1	3265	1.59
SEQ1	3266	1.44
SEQ1	3267	0.926
SEQ1	3268	0.597
SEQ1	3269	0.226
SEQ1	3270	-0.159
SEQ1	3271	0.269
SEQ1	3272	0.457
SEQ1	3273	0.725
SEQ1	3274	0.894
SEQ1	3275	0.81
SEQ1	3276	0.656
SEQ1	3277	0.334
SEQ1	3278	0.14
SEQ1	3279	0.0995
SEQ1	3280	0.246
SEQ1	3281	0.294
SEQ1	3282	0.291
SEQ1	3283	-0.0488
SEQ1	3284	-0.419
SEQ1	3285	-0.601
SEQ1	3286	-0.395
SEQ1	3287	-0.333
SEQ1	3288	0.218
SEQ1	3289	0.576
SEQ1	3290	0.842
SEQ1	3291	0.715
SEQ1	3292	0.598
